pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
         174891671 function calls (149845281 primitive calls) in 105.011 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      171    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      131    0.000    0.000    0.000    0.000 posixpath.py:75(join)
       74    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      900    0.000    0.000    0.000    0.000 network.py:8(__init__)
      404    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
       53    0.000    0.000    0.000    0.000 __init__.py:1483(_validate_resource_path)
      120    0.000    0.000    0.000    0.000 pyparsing.py:2576(__init__)
        4    0.000    0.000    0.000    0.000 core.py:123(doc_note)
        1    0.000    0.000    0.000    0.000 type_check.py:3(<module>)
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
      220    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
       46    0.000    0.000    0.000    0.000 __init__.py:685(add)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
        4    0.000    0.000    0.000    0.000 re.py:205(split)
        1    0.000    0.000    0.000    0.000 __init__.py:2991(DistInfoDistribution)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6819(add_newdoc_for_scalar_type)
     2514    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      230    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       96    0.000    0.000    0.000    0.000 __init__.py:2369(yield_lines)
       27    0.000    0.000    0.000    0.000 {built-in method io.open}
      423    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
    88/80    0.000    0.000    0.000    0.000 pyparsing.py:3926(__str__)
       17    0.000    0.000    0.000    0.000 pyparsing.py:2213(__call__)
       69    0.000    0.000    0.000    0.000 pyparsing.py:2618(__init__)
       46    0.000    0.000    0.000    0.000 __init__.py:1317(safe_name)
      173    0.000    0.000    0.000    0.000 __init__.py:2336(_normalize_cached)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
      275    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
       15    0.000    0.000    0.000    0.000 pyparsing.py:1358(setResultsName)
        1    0.000    0.000    0.000    0.000 base64mime.py:25(<module>)
        8    0.000    0.000    0.000    0.000 posixpath.py:391(realpath)
       16    0.000    0.000    0.000    0.000 __init__.py:1606(_get)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
     1741    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1700    0.000    0.000    0.000    0.000 main.py:77(get_fitness)
       38    0.000    0.000    0.000    0.000 pyparsing.py:4690(__init__)
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
        2    0.000    0.000    0.000    0.000 pyparsing.py:3169(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:2320(normalize_path)
     1741    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       51    0.000    0.000    0.000    0.000 _internal.py:840(_ufunc_doc_signature_formatter)
       56    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
       44    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        8    0.000    0.000    0.000    0.000 __init__.py:1901(get_metadata_lines)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
        2    0.000    0.000    0.000    0.000 pyparsing.py:5173(originalTextFor)
        9    0.000    0.000    0.000    0.000 enum.py:177(<setcomp>)
     1180    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      268    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
       98    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       92    0.000    0.000    0.000    0.000 posixpath.py:121(splitext)
      224    0.000    0.000    0.000    0.000 enum.py:526(__new__)
        8    0.000    0.000    0.000    0.000 __init__.py:1884(get_metadata)
        4    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
       98    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      198    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      457    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:359(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
   120/90    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
  179/167    0.000    0.000    0.000    0.000 pyparsing.py:3774(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
     1276    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
      167    0.000    0.000    0.000    0.000 enum.py:376(__setattr__)
       33    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
      118    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      329    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     10/8    0.000    0.000    0.000    0.000 posixpath.py:400(_joinrealpath)
       24    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       53    0.000    0.000    0.000    0.000 ntpath.py:67(isabs)
       46    0.000    0.000    0.000    0.000 genericpath.py:39(isdir)
       27    0.000    0.000    0.000    0.000 core.py:919(__init__)
     1052    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     1236    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       73    0.000    0.000    0.000    0.000 posixpath.py:154(dirname)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
      263    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       18    0.000    0.000    0.000    0.000 core.py:995(__init__)
       14    0.000    0.000    0.000    0.000 enum.py:830(__or__)
        1    0.000    0.000    0.000    0.000 copy.py:49(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
      106    0.000    0.000    0.000    0.000 {built-in method numpy.array}
     2018    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     1531    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:4(<module>)
     1000    0.000    0.000    0.000    0.000 network.py:35(__init__)
       30    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      410    0.000    0.000    0.000    0.000 pyparsing.py:3931(<genexpr>)
       23    0.000    0.000    0.000    0.000 __init__.py:2861(insert_on)
      494    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      548    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
  112/108    0.000    0.000    0.000    0.000 pyparsing.py:497(__init__)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
      138    0.000    0.000    0.000    0.000 __init__.py:2628(key)
     1230    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       98    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      477    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
      364    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:60(<module>)
      900    0.000    0.000    0.000    0.000 network.py:24(__init__)
      269    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      182    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       10    0.000    0.000    0.000    0.000 extras.py:238(__init__)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2064(__mul__)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
      363    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      365    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
       70    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       52    0.000    0.000    0.000    0.000 pyparsing.py:3090(__str__)
      6/5    0.000    0.000    0.000    0.000 pyparsing.py:4456(parseImpl)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
       28    0.000    0.000    0.000    0.000 pyparsing.py:4450(__init__)
       28    0.000    0.000    0.000    0.000 linecache.py:53(checkcache)
       36    0.000    0.000    0.000    0.000 __init__.py:1594(_has)
       10    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
        1    0.000    0.000    0.000    0.000 sndarray.py:45(<module>)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
      338    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:2113(makeOptionalList)
      366    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      404    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      260    0.000    0.000    0.000    0.000 version.py:61(_compare)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
      278    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        3    0.000    0.000    0.000    0.000 _pydecimal.py:3884(__init__)
        9    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6265(__new__)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
       92    0.000    0.000    0.000    0.000 genericpath.py:117(_splitext)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:956(_cache_bytecode)
      559    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      442    0.000    0.000    0.000    0.000 version.py:226(<genexpr>)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
      263    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
       36    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
      268    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:961(set_data)
        4    0.000    0.000    0.000    0.000 numeric.py:3083(extend_all)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3000(Regex)
        1    0.000    0.000    0.000    0.000 pyparsing.py:6330(pyparsing_unicode)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
        1    0.000    0.000    0.000    0.000 pkgdata.py:34(getResource)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
       10    0.000    0.000    0.000    0.000 abc.py:130(register)
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      117    0.000    0.000    0.000    0.000 __init__.py:2803(__getattr__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:105(_write_atomic)
        3    0.000    0.000    0.000    0.000 enum.py:793(_missing_)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
       10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4921(delimitedList)
        3    0.000    0.000    0.000    0.000 enum.py:800(_create_pseudo_member_)
       53    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      111    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
     1155    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1668(MemoizedZipManifests)
      101    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       54    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        8    0.000    0.000    0.000    0.000 core.py:8007(__init__)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
      130    0.000    0.000    0.000    0.000 version.py:43(__lt__)
       39    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
    30/11    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
      633    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 chebyshev.py:89(<module>)
       10    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
      474    0.000    0.000    0.000    0.000 pyparsing.py:2344(__str__)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
      130    0.000    0.000    0.000    0.000 version.py:49(__eq__)
      196    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.000    0.000 _pydecimal.py:509(Decimal)
        9    0.000    0.000    0.000    0.000 enum.py:125(__prepare__)
       98    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
        1    0.000    0.000    0.000    0.000 hermite_e.py:60(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
    30/11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       36    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
        3    0.000    0.000    0.000    0.000 enum.py:872(_decompose)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
       71    0.000    0.000    0.000    0.000 posixpath.py:64(isabs)
        1    0.000    0.000    0.000    0.000 laguerre.py:60(<module>)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
      317    0.000    0.000    0.000    0.000 overrides.py:111(array_function_dispatch)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
       69    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        8    0.000    0.000    0.000    0.000 core.py:8012(getdoc)
      316    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
    39/37    0.000    0.000    0.000    0.000 pyparsing.py:4140(__str__)
       22    0.000    0.000    0.000    0.000 pyparsing.py:3059(parseImpl)
       28    0.000    0.000    0.000    0.000 posixpath.py:168(islink)
       47    0.000    0.000    0.000    0.000 posixpath.py:144(basename)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
       23    0.000    0.000    0.000    0.000 __init__.py:2887(<listcomp>)
      266    0.000    0.000    0.000    0.000 pyparsing.py:3602(<genexpr>)
        2    0.000    0.000    0.000    0.000 core.py:2931(__array_finalize__)
       26    0.000    0.000    0.000    0.000 enum.py:442(_get_mixins_)
      116    0.000    0.000    0.000    0.000 <string>:1(__new__)
       14    0.000    0.000    0.000    0.000 __init__.py:1958(find_distributions)
        1    0.000    0.000    0.000    0.000 pickle.py:372(_Pickler)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        9    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      317    0.000    0.000    0.000    0.000 overrides.py:146(decorator)
       18    0.000    0.000    0.000    0.000 {built-in method pygame.time.Clock}
       19    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
       11    0.000    0.000    0.000    0.000 pyparsing.py:4303(__init__)
       35    0.000    0.000    0.000    0.000 pyparsing.py:2966(__str__)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
      228    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      558    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      112    0.000    0.000    0.000    0.000 pyparsing.py:488(__new__)
       18    0.000    0.000    0.000    0.000 pyparsing.py:795(__iadd__)
        2    0.000    0.000    0.000    0.000 __init__.py:354(get_provider)
      133    0.000    0.000    0.000    0.000 abc.py:137(__instancecheck__)
      266    0.000    0.000    0.000    0.000 version.py:256(<genexpr>)
        8    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
       98    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       41    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        4    0.000    0.000    0.000    0.000 six.py:91(__get__)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
      101    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
      107    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
        6    0.000    0.000    0.000    0.000 core.py:1144(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2710(MaskedArray)
        9    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      128    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
       12    0.000    0.000    0.000    0.000 pyparsing.py:2233(suppress)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:22(<module>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:2028(__radd__)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1446(addParseAction)
       27    0.000    0.000    0.000    0.000 _pydecimal.py:3945(__setattr__)
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
      510    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
       16    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 core.py:3080(view)
       69    0.000    0.000    0.000    0.000 types.py:164(__get__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:100(_safe_realpath)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1572(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
       21    0.000    0.000    0.000    0.000 pyparsing.py:2931(parseImpl)
        1    0.000    0.000    0.000    0.000 __init__.py:1132(resource_exists)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
        1    0.000    0.000    0.000    0.000 os.py:40(_get_exports_list)
        8    0.000    0.000    0.000    0.000 pyparsing.py:4386(__init__)
      339    0.000    0.000    0.000    0.000 pyparsing.py:2350(streamline)
        1    0.000    0.000    0.000    0.000 tokenize.py:443(open)
      171    0.000    0.000    0.000    0.000 pyparsing.py:2249(setWhitespaceChars)
        3    0.000    0.000    0.000    0.000 __init__.py:481(PYFUNCTYPE)
       13    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        1    0.000    0.000    0.000    0.000 format.py:156(<module>)
       19    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
       28    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.000    0.000 {built-in method posix.replace}
        4    0.000    0.000    0.000    0.000 six.py:80(_import_module)
      320    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      483    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        2    0.000    0.000    0.000    0.000 six.py:114(_resolve)
        1    0.000    0.000    0.000    0.000 core.py:6283(__array_finalize__)
      128    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
      9/7    0.000    0.000    0.000    0.000 pyparsing.py:4661(__str__)
        6    0.000    0.000    0.000    0.000 pyparsing.py:5290(<lambda>)
        8    0.000    0.000    0.000    0.000 pyparsing.py:5292(<genexpr>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1148(resource_stream)
        3    0.000    0.000    0.000    0.000 enum.py:890(<listcomp>)
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:499(_validate_hash_pyc)
      197    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       30    0.000    0.000    0.000    0.000 getlimits.py:19(_fr0)
        1    0.000    0.000    0.000    0.000 records.py:87(format_parser)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        8    0.000    0.000    0.000    0.000 posixpath.py:376(abspath)
      374    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
      2/1    0.000    0.000    0.000    0.000 pyparsing.py:4390(parseImpl)
        1    0.000    0.000    0.000    0.000 core.py:2775(__new__)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
       62    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
      190    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
       84    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        2    0.000    0.000    0.000    0.000 __init__.py:1576(_setup_prefix)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
       76    0.000    0.000    0.000    0.000 pyparsing.py:1511(preParse)
        1    0.000    0.000    0.000    0.000 __init__.py:274(load)
        6    0.000    0.000    0.000    0.000 numeric.py:2656(seterr)
       20    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3461(LineStart)
       16    0.000    0.000    0.000    0.000 pyparsing.py:1214(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:195(_sanity_check)
        1    0.000    0.000    0.000    0.000 threading.py:450(BoundedSemaphore)
       72    0.000    0.000    0.000    0.000 __init__.py:2544(is_version_line)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:246(_set_array_types)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1343(setName)
        1    0.000    0.000    0.000    0.000 track.py:8(__init__)
       23    0.000    0.000    0.000    0.000 overrides.py:183(decorator)
       26    0.000    0.000    0.000    0.000 enum.py:453(_find_data_type)
       15    0.000    0.000    0.000    0.000 pyparsing.py:5046(_escapeRegexRangeChars)
       78    0.000    0.000    0.000    0.000 _internal.py:851(<genexpr>)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        1    0.000    0.000    0.000    0.000 case.py:351(TestCase)
        1    0.000    0.000    0.000    0.000 numerictypes.py:593(_register_types)
      377    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      186    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       26    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      263    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        6    0.000    0.000    0.000    0.000 _pydecimal.py:518(__new__)
        1    0.000    0.000    0.000    0.000 arraysetops.py:27(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       84    0.000    0.000    0.000    0.000 traceback.py:243(__init__)
      133    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 pyparsing.py:4729(postParse)
      348    0.000    0.000    0.000    0.000 version.py:333(_parse_letter_version)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
      112    0.000    0.000    0.000    0.000 traceback.py:289(walk_stack)
       10    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
       56    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 random.py:88(__init__)
        2    0.000    0.000    0.000    0.000 arrayprint.py:460(decorating_function)
        1    0.000    0.000    0.000    0.000 histograms.py:3(<module>)
        9    0.000    0.000    0.000    0.000 os.py:673(__getitem__)
       41    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 pyparsing.py:1456(addCondition)
       12    0.000    0.000    0.000    0.000 __init__.py:1881(has_metadata)
        1    0.000    0.000    0.000    0.000 random.py:97(seed)
        4    0.000    0.000    0.000    0.000 ufunclike.py:16(_deprecate_out_named_y)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      196    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 network.py:1(<module>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        6    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3803(streamline)
       16    0.000    0.000    0.000    0.000 __init__.py:3152(_find_adapter)
        1    0.000    0.000    0.000    0.000 __init__.py:3229(_initialize)
        1    0.000    0.000    0.000    0.000 linalg.py:82(_determine_error_states)
        7    0.000    0.000    0.000    0.000 specifiers.py:256(_require_version_compare)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3429(__init__)
      396    0.000    0.000    0.000    0.000 pyparsing.py:3894(<genexpr>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:545(__setitem__)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        3    0.000    0.000    0.000    0.000 numeric.py:3058(__enter__)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
       44    0.000    0.000    0.000    0.000 six.py:105(__init__)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        3    0.000    0.000    0.000    0.000 datetime.py:1517(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:2136(timezone)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6825(<genexpr>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:154(_add_integer_aliases)
      151    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:332(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:445(_construct_lookups)
       14    0.000    0.000    0.000    0.000 pkgutil.py:405(get_importer)
        4    0.000    0.000    0.000    0.000 pyparsing.py:2207(__invert__)
      706    0.000    0.000    0.000    0.000 __init__.py:2085(__bool__)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f00156bfa60}
       16    0.000    0.000    0.000    0.000 posixpath.py:104(split)
        5    0.000    0.000    0.000    0.000 pyparsing.py:4754(__init__)
        2    0.000    0.000    0.000    0.000 core.py:6448(__init__)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:238(_add_array_type)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:536(_code_to_timestamp_pyc)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2583(__init__)
