pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
         174891671 function calls (149845281 primitive calls) in 105.011 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      268    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      268    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
    60/56    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1040(create_module)
    60/56    0.017    0.000    0.020    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.019    0.019 __init__.py:7(<module>)
        1    0.000    0.000    0.018    0.018 pyparsing.py:94(<module>)
      510    0.005    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
     6395    0.009    0.000    0.018    0.000 {built-in method builtins.any}
    24252    0.016    0.000    0.016    0.000 {method '__reduce_ex__' of 'object' objects}
    30017    0.016    0.000    0.016    0.000 main.py:74(<genexpr>)
    24252    0.011    0.000    0.015    0.000 copyreg.py:87(__newobj__)
       98    0.000    0.000    0.015    0.000 sre_compile.py:598(_code)
        2    0.000    0.000    0.015    0.007 __init__.py:45(<module>)
       26    0.000    0.000    0.014    0.001 pyparsing.py:3015(__init__)
      950    0.009    0.000    0.014    0.000 network.py:46(__init__)
        2    0.000    0.000    0.013    0.007 __init__.py:3224(_call_aside)
        1    0.000    0.000    0.013    0.013 __init__.py:3241(_initialize_master_working_set)
   137700    0.013    0.000    0.013    0.000 copy.py:190(_deepcopy_atomic)
        1    0.000    0.000    0.013    0.013 multiarray.py:7(<module>)
        1    0.000    0.000    0.013    0.013 overrides.py:1(<module>)
   931/98    0.005    0.000    0.013    0.000 sre_compile.py:71(_compile)
       14    0.000    0.000    0.013    0.001 __init__.py:611(add_entry)
        1    0.000    0.000    0.012    0.012 numeric.py:1(<module>)
    51350    0.012    0.000    0.012    0.000 {built-in method builtins.getattr}
       58    0.000    0.000    0.012    0.000 __init__.py:2028(find_on_path)
        1    0.000    0.000    0.011    0.011 main.py:85(<listcomp>)
        1    0.000    0.000    0.011    0.011 parser.py:5(<module>)
        1    0.000    0.000    0.010    0.010 feedparser.py:20(<module>)
        1    0.000    0.000    0.009    0.009 pyparsing.py:5973(pyparsing_common)
        1    0.000    0.000    0.009    0.009 _policybase.py:4(<module>)
        1    0.000    0.000    0.009    0.009 specifiers.py:4(<module>)
    12642    0.004    0.000    0.008    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.008    0.008 financial.py:12(<module>)
        1    0.000    0.000    0.008    0.008 index_tricks.py:1(<module>)
        1    0.000    0.000    0.008    0.008 decimal.py:2(<module>)
      296    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:914(get_data)
        1    0.000    0.000    0.007    0.007 specifiers.py:266(Specifier)
       18    0.002    0.000    0.007    0.000 main.py:15(__init__)
        1    0.000    0.000    0.007    0.007 __init__.py:41(<module>)
27994/27989    0.007    0.000    0.007    0.000 {built-in method builtins.hasattr}
    24348    0.007    0.000    0.007    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.007    0.007 __init__.py:569(_build_master)
        1    0.000    0.000    0.007    0.007 __init__.py:556(__init__)
       92    0.000    0.000    0.007    0.000 __init__.py:2115(distributions_from_metadata)
        1    0.000    0.000    0.007    0.007 npyio.py:1(<module>)
    90200    0.006    0.000    0.006    0.000 {method 'random' of '_random.Random' objects}
        1    0.000    0.000    0.006    0.006 sysfont.py:21(<module>)
    16250    0.005    0.000    0.006    0.000 random.py:372(uniform)
      263    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.006    0.006 case.py:1(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:10(<module>)
     2534    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
    24611    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x7f002834dce0}
        1    0.000    0.000    0.006    0.006 _pydecimal.py:113(<module>)
       46    0.000    0.000    0.005    0.000 __init__.py:2569(from_location)
        1    0.000    0.000    0.005    0.005 _internal.py:6(<module>)
    14217    0.005    0.000    0.005    0.000 sre_parse.py:233(__next)
     1070    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        1    0.000    0.000    0.005    0.005 utils.py:5(<module>)
        1    0.000    0.000    0.005    0.005 py3k.py:4(<module>)
     1190    0.005    0.000    0.005    0.000 {built-in method posix.stat}
      370    0.004    0.000    0.005    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.005    0.005 _datasource.py:35(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:15(<module>)
        1    0.000    0.000    0.004    0.004 platform.py:10(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:3(<module>)
        1    0.000    0.000    0.004    0.004 utils.py:4(<module>)
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:9(<module>)
        1    0.000    0.000    0.004    0.004 core.py:21(<module>)
       12    0.000    0.000    0.004    0.000 __init__.py:2002(_by_version_descending)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:10(<module>)
       12    0.000    0.000    0.004    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.004    0.004 shutil.py:5(<module>)
       12    0.000    0.000    0.004    0.000 pyparsing.py:4712(__init__)
      296    0.004    0.000    0.004    0.000 {method 'read' of '_io.FileIO' objects}
    35/10    0.000    0.000    0.004    0.000 pyparsing.py:4102(leaveWhitespace)
      452    0.000    0.000    0.004    0.000 pyparsing.py:1314(copy)
      398    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        1    0.000    0.000    0.004    0.004 version.py:4(<module>)
    23921    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
    24398    0.004    0.000    0.004    0.000 {built-in method builtins.issubclass}
     6280    0.002    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
      277    0.001    0.000    0.004    0.000 function_base.py:431(add_newdoc)
        7    0.000    0.000    0.004    0.001 enum.py:633(_convert)
        1    0.000    0.000    0.004    0.004 tempfile.py:24(<module>)
    30460    0.004    0.000    0.004    0.000 {built-in method math.degrees}
        1    0.000    0.000    0.004    0.004 numerictypes.py:81(<module>)
        1    0.000    0.000    0.003    0.003 defmatrix.py:1(<module>)
       23    0.001    0.000    0.003    0.000 __init__.py:316(namedtuple)
      452    0.001    0.000    0.003    0.000 copy.py:66(copy)
        1    0.000    0.000    0.003    0.003 socket.py:47(<module>)
      457    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:403(cached)
     1800    0.001    0.000    0.003    0.000 ball.py:30(__init__)
      278    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
    59/10    0.000    0.000    0.003    0.000 pyparsing.py:3620(leaveWhitespace)
        1    0.000    0.000    0.003    0.003 random.py:38(<module>)
        3    0.000    0.000    0.003    0.001 pyparsing.py:1780(parseString)
       24    0.000    0.000    0.003    0.000 __init__.py:2973(_reload_version)
   124/62    0.000    0.000    0.003    0.000 pyparsing.py:3691(copy)
      232    0.000    0.000    0.003    0.000 enum.py:284(__call__)
       24    0.000    0.000    0.003    0.000 __init__.py:2761(_get_version)
       24    0.000    0.000    0.003    0.000 __init__.py:2539(_version_from_file)
     2534    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        1    0.000    0.000    0.003    0.003 subprocess.py:42(<module>)
        1    0.000    0.000    0.003    0.003 version.py:213(Version)
      258    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
 1096/277    0.002    0.000    0.003    0.000 sre_parse.py:174(getwidth)
       46    0.000    0.000    0.003    0.000 __init__.py:2017(_by_version)
        1    0.000    0.000    0.003    0.003 header.py:5(<module>)
      352    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      630    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      230    0.001    0.000    0.003    0.000 version.py:217(__init__)
       12    0.000    0.000    0.003    0.000 pyparsing.py:2876(__init__)
        1    0.000    0.000    0.003    0.003 traceback.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:24(<module>)
        8    0.000    0.000    0.002    0.000 enum.py:389(_create_)
       46    0.000    0.000    0.002    0.000 __init__.py:2023(<listcomp>)
       98    0.001    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.002    0.002 inspect.py:27(<module>)
      119    0.000    0.000    0.002    0.000 __init__.py:2756(_get_metadata)
        1    0.000    0.000    0.002    0.002 pickle.py:24(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:97(<module>)
